line,official_km,section,source,checked
jr-west.osaka-higashi,18.6,新大阪〜久宝寺,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.kibi,20.4,岡山〜総社,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.kansai-airport,11.1,日根野〜関西空港,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.uno,32.8,岡山〜宇野,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.honshi-bisan,12.9,茶屋町〜児島,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.hakubi,138.4,倉敷〜伯耆大山,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.geibi,159.1,備中神代〜広島,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.fukuen,78.0,福山〜塩町,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.inbi,70.8,東津山〜鳥取,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.sakai,17.9,米子〜境港,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.kisuki,81.9,宍道〜備後落合,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.kure,87.0,三原〜海田市,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.kabe,15.6,横川〜あき亀山,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.gantoku,43.7,岩国〜櫛ケ浜,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.yamaguchi,93.9,新山口〜益田,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.ube,33.2,新山口〜宇部,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.onoda,13.9,小野田〜居能 など,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.mine,46.0,厚狭〜長門市,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.hakata-minami,8.5,博多〜博多南,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.sanyo-shinkansen,644.0,新大阪〜博多,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.hokuriku-shinkansen,293.7,上越妙高〜敦賀,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
nagoyatetsudo.meitetsu-nagoya,99.8,豊橋～名鉄岐阜,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
nagoyatetsudo.meitetsu-airport,4.2,常滑～中部国際空港,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
